Sample_ID,Population_Name,Range,Easting,Northing,mdo9,NA,mdo5,NA,mdo7,NA,mdo10,NA,mdo6,NA,mdo3,NA,mdo2,NA,lma21,NA,MSAF29,NA,MSAF05,NA,MSAF14,NA,MSAF17,NA,MSAF09,NA,MSAF06,NA
MO001,SWMO,Neosho,592981,4301211,125,129,196,196,164,166,102,102,148,148,117,117,196,198,NA,NA,NA,NA,140,144,207,209,104,108,NA,NA,108,122
MO002,SWMO,Neosho,372799,4057508,129,129,NA,NA,162,166,102,102,NA,NA,117,117,194,196,184,192,NA,NA,128,128,175,175,108,110,164,166,110,110
MO003,SWMO,Neosho,372799,4057508,129,129,196,196,162,166,102,102,146,150,117,117,196,198,194,194,164,166,128,146,175,195,108,108,164,170,110,118
MO004,SWMO,Neosho,372799,4057508,129,129,196,196,162,166,102,102,NA,NA,NA,NA,198,200,NA,NA,NA,NA,128,128,175,175,102,108,NA,NA,102,120
MO005,SWMO,Neosho,372581,4057395,123,123,196,196,162,166,102,102,148,148,NA,NA,196,198,190,192,156,158,130,130,175,195,108,110,164,170,108,122
MO006,SWMO,Neosho,372581,4057395,123,129,196,196,164,166,102,102,148,148,117,117,194,198,196,196,140,168,126,126,197,209,108,112,164,174,108,114
MO007,SWMO,Neosho,372279,4057257,129,129,196,196,164,168,102,102,NA,NA,NA,NA,196,196,194,194,NA,NA,128,128,NA,NA,108,108,NA,NA,110,110
MO010,SWMO,Neosho,371685,4056651,129,129,NA,NA,166,166,102,102,146,146,105,117,NA,NA,NA,NA,134,134,130,130,177,209,108,116,160,164,110,124
MO011,SWMO,Neosho,371693,4056579,123,129,NA,NA,166,166,102,104,148,148,NA,NA,198,198,194,196,164,166,NA,NA,NA,NA,108,110,172,174,NA,NA
MO012,SWMO,Neosho,372173,4056086,129,129,196,196,166,166,102,106,146,146,117,117,194,198,194,196,160,160,NA,NA,175,175,108,126,166,166,NA,NA
MO013,SWMO,Neosho,372173,4056086,123,129,NA,NA,166,166,102,102,NA,NA,119,119,196,198,196,196,124,124,132,132,175,175,104,104,156,156,124,124
MO014,SWMO,Neosho,372173,4056086,129,129,NA,NA,166,166,102,102,NA,NA,117,117,198,198,194,196,NA,NA,142,144,NA,NA,104,104,168,168,NA,NA
MO015,SWMO,Neosho,372173,4056086,121,129,NA,NA,162,166,102,102,148,148,105,117,198,198,190,196,122,156,130,130,NA,NA,102,112,164,164,120,120
MO016,SWMO,Neosho,372283,4055456,NA,NA,NA,NA,168,168,108,108,NA,NA,117,117,198,198,194,196,138,138,130,130,209,209,116,116,164,164,122,124
MO017,SWMO,Neosho,372283,4055456,125,129,196,196,166,166,102,102,NA,NA,117,131,188,198,196,198,166,168,128,144,173,209,108,110,156,160,110,128
MO018,SWMO,Neosho,372283,4055456,129,129,NA,NA,164,166,102,102,146,146,119,119,198,200,NA,NA,NA,NA,128,146,177,177,106,126,NA,NA,NA,NA
MO022,SWMO,Neosho,371568,4055734,NA,NA,NA,NA,160,160,NA,NA,NA,NA,105,117,198,198,190,190,NA,NA,128,128,175,175,102,106,168,168,110,122
MO023,SWMO,Neosho,371568,4055734,123,123,196,196,162,166,102,102,146,148,113,117,196,196,190,190,NA,NA,132,132,177,225,102,124,152,168,110,122
MO024,SWMO,Neosho,371568,4055734,129,129,NA,NA,166,166,NA,NA,NA,NA,117,117,198,198,NA,NA,164,166,132,132,175,211,102,102,NA,NA,NA,NA
MO025,SWMO,Neosho,371061,4056032,NA,NA,NA,NA,164,164,NA,NA,148,148,115,115,196,196,NA,NA,172,174,144,144,173,173,102,102,164,166,NA,NA
MO026,SWMO,Neosho,371088,4056887,123,123,196,196,162,166,102,102,146,146,117,117,198,198,190,196,158,168,124,128,175,217,108,110,166,174,116,118
MO027,SWMO,Neosho,385947,4040944,125,125,NA,NA,162,166,102,106,148,148,105,117,196,200,190,190,124,142,128,128,175,217,104,110,160,168,116,122
MO028,SWMO,Neosho,385817,4041165,125,129,200,200,162,166,102,106,146,148,117,127,182,192,192,196,168,170,130,144,213,241,104,106,160,164,102,130
MO029,SWMO,Neosho,385817,4041165,125,125,200,200,166,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,130,213,241,104,120,160,164,102,128
MO030,SWMO,Neosho,385817,4041165,125,133,NA,NA,164,166,102,106,146,148,119,119,200,200,NA,NA,NA,NA,140,146,NA,NA,106,124,158,158,122,122
